event,date,team1,toss_winner,umpire2,match_referee,season,team2,winner_runs,balls_per_over,player_of_match,neutralvenue,venue,method,toss_decision,city,winner,umpire1,match_number,eliminator,winner_wickets,matchId,gender,reserve_umpire,tv_umpire,outcome
Indian Premier League,05-04-2017 00:00,Sunrisers Hyderabad,Royal Challengers Bangalore,NJ Llong,J Srinath,2017,Royal Challengers Bangalore,35,6,Yuvraj Singh,,"Rajiv Gandhi International Stadium, Uppal",,field,Hyderabad,Sunrisers Hyderabad,AY Dandekar,1,,,1082591,,,,
Indian Premier League,06-04-2017 00:00,Rising Pune Supergiant,Rising Pune Supergiant,S Ravi,M Nayyar,2017,Mumbai Indians,,6,SPD Smith,,Maharashtra Cricket Association Stadium,,field,Pune,Rising Pune Supergiant,A Nand Kishore,2,,7,1082592,,,,
Indian Premier League,07-04-2017 00:00,Gujarat Lions,Kolkata Knight Riders,CK Nandan,V Narayan Kutty,2017,Kolkata Knight Riders,,6,CA Lynn,,Saurashtra Cricket Association Stadium,,field,Rajkot,Kolkata Knight Riders,Nitin Menon,3,,10,1082593,,,,
Indian Premier League,08-04-2017 00:00,Kings XI Punjab,Kings XI Punjab,C Shamshuddin,Chinmay Sharma,2017,Rising Pune Supergiant,,6,GJ Maxwell,,Holkar Cricket Stadium,,field,Indore,Kings XI Punjab,AK Chaudhary,4,,6,1082594,,,,
Indian Premier League,08-04-2017 00:00,Royal Challengers Bangalore,Royal Challengers Bangalore,VK Sharma,J Srinath,2017,Delhi Daredevils,15,6,KM Jadhav,,M.Chinnaswamy Stadium,,bat,Bengaluru,Royal Challengers Bangalore,S Ravi,5,,,1082595,,,,
Indian Premier League,09-04-2017 00:00,Sunrisers Hyderabad,Sunrisers Hyderabad,NJ Llong,M Nayyar,2017,Gujarat Lions,,6,Rashid Khan,,"Rajiv Gandhi International Stadium, Uppal",,field,Hyderabad,Sunrisers Hyderabad,A Deshmukh,6,,9,1082596,,,,
Indian Premier League,09-04-2017 00:00,Mumbai Indians,Mumbai Indians,CK Nandan,S Chaturvedi,2017,Kolkata Knight Riders,,6,N Rana,,Wankhede Stadium,,field,Mumbai,Mumbai Indians,Nitin Menon,7,,4,1082597,,,,
Indian Premier League,10-04-2017 00:00,Kings XI Punjab,Royal Challengers Bangalore,C Shamshuddin,Chinmay Sharma,2017,Royal Challengers Bangalore,,6,AR Patel,,Holkar Cricket Stadium,,bat,Indore,Kings XI Punjab,AK Chaudhary,8,,8,1082598,,,,
Indian Premier League,11-04-2017 00:00,Rising Pune Supergiant,Rising Pune Supergiant,S Ravi,J Srinath,2017,Delhi Daredevils,97,6,SV Samson,,Maharashtra Cricket Association Stadium,,field,Pune,Delhi Daredevils,AY Dandekar,9,,,1082599,,,,
Indian Premier League,12-04-2017 00:00,Mumbai Indians,Mumbai Indians,CK Nandan,M Nayyar,2017,Sunrisers Hyderabad,,6,JJ Bumrah,,Wankhede Stadium,,field,Mumbai,Mumbai Indians,Nitin Menon,10,,4,1082600,,,,
Indian Premier League,13-04-2017 00:00,Kolkata Knight Riders,Kolkata Knight Riders,NJ Llong,AJ Pycroft,2017,Kings XI Punjab,,6,SP Narine,,Eden Gardens,,field,Kolkata,Kolkata Knight Riders,A Deshmukh,11,,8,1082601,,,,
Indian Premier League,14-04-2017 00:00,Royal Challengers Bangalore,Mumbai Indians,AK Chaudhary,Chinmay Sharma,2017,Mumbai Indians,,6,KA Pollard,,M Chinnaswamy Stadium,,field,Bangalore,Mumbai Indians,KN Ananthapadmanabhan,12,,4,1082602,,,,
Indian Premier League,14-04-2017 00:00,Gujarat Lions,Gujarat Lions,S Ravi,J Srinath,2017,Rising Pune Supergiant,,6,AJ Tye,,Saurashtra Cricket Association Stadium,,field,Rajkot,Gujarat Lions,A Nand Kishore,13,,7,1082603,,,,
Indian Premier League,15-04-2017 00:00,Kolkata Knight Riders,Sunrisers Hyderabad,NJ Llong,AJ Pycroft,2017,Sunrisers Hyderabad,17,6,RV Uthappa,,Eden Gardens,,field,Kolkata,Kolkata Knight Riders,AY Dandekar,14,,,1082604,,,,
Indian Premier League,15-04-2017 00:00,Delhi Daredevils,Delhi Daredevils,Nitin Menon,S Chaturvedi,2017,Kings XI Punjab,51,6,CJ Anderson,,Feroz Shah Kotla,,bat,Delhi,Delhi Daredevils,YC Barde,15,,,1082605,,,,
Indian Premier League,16-04-2017 00:00,Mumbai Indians,Mumbai Indians,S Ravi,M Nayyar,2017,Gujarat Lions,,6,N Rana,,Wankhede Stadium,,field,Mumbai,Mumbai Indians,A Nand Kishore,16,,6,1082606,,,,
Indian Premier League,16-04-2017 00:00,Royal Challengers Bangalore,Royal Challengers Bangalore,C Shamshuddin,Chinmay Sharma,2017,Rising Pune Supergiant,27,6,BA Stokes,,M Chinnaswamy Stadium,,field,Bangalore,Rising Pune Supergiant,KN Ananthapadmanabhan,17,,,1082607,,,,
Indian Premier League,17-04-2017 00:00,Delhi Daredevils,Delhi Daredevils,CK Nandan,S Chaturvedi,2017,Kolkata Knight Riders,,6,NM Coulter-Nile,,Feroz Shah Kotla,,bat,Delhi,Kolkata Knight Riders,Nitin Menon,18,,4,1082608,,,,
